"","X","Symbol","Name","Sector","Price","Price.Earnings","Dividend.Yield","Earnings.Share","X52.Week.Low","X52.Week.High","Market.Cap","EBITDA.x","Price.Sales","Price.Book","SEC.Filings","Debt","Rev_Growth","EBITDA.y","Leverage","Beta"
"195",197,"GS","Goldman Sachs Group","Financials",246.35,12.4,1.17,8.61,273.79,209.62,96978500251,0,2.309415,1.25,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS",242132,22.34,0,Inf,1.14748158301248
"196",198,"GT","Goodyear Tire & Rubber","Consumer Discretionary",30.75,9.9,1.67,4.74,37.2,28.81,8244568238,2.04e+09,0.72725976,1.65,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GT",5604,4.14,2.04e+09,2.74,0.690159259342677
"197",199,"GWW","Grainger (W.W.) Inc.","Industrials",258.6,22.6,1.97,10.02,298.145,155,14639308205,1279846000,1.3995146,8.1,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW",2148.4,8.06,1279846000,1.68,1.07359687287187
"198",200,"HAL","Halliburton Co.","Energy",47.41,38.9,1.45,-0.53,57.86,38.181,43356557470,2.91e+09,2.1424224,4.74,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL",10424,28.33,2.91e+09,3.58,1.19787860769619
"199",201,"HAS","Hasbro Inc.","Consumer Discretionary",96.48,20.6,2.23,4.34,116.2,87.92,12732072001,1028425000,3.2375681,5.82,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAS",1694.72,-8.72,1028425000,1.65,0.697500112421199
"200",202,"HBAN","Huntington Bancshares","Financials",15.1,15.4,2.81,1,16.53,12.14,16766497291,0,3.5112102,1.72,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBAN",9385,9.89,0,Inf,0.745952145014039
"201",203,"HBI","Hanesbrands Inc","Consumer Discretionary",19.57,10,2.73,1.41,25.73,18.9,8006268615,926153000,1.6339768,6.17,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HBI",3863.58,4.36,926153000,4.17,1.19293366226607
"202",204,"HCA","HCA Holdings","Health Care",95.97,14.1,1.42,5.94,106.84,71.18,34449052800,8.2e+09,0.7251921,NA,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA",32916,7.66,8.2e+09,4.01,1.06832436509921
"203",205,"HCP","HCP Inc.","Real Estate",22.64,11,6.33,1.33,33.67,22.8,10967755538,1412684000,8.127109,1.97,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCP",6798.25,-5.65,1412684000,4.81,0.37749719432806
"204",206,"HD","Home Depot","Consumer Discretionary",181.22,28.1,1.86,6.46,207.605,136.82,2.23379e+11,1.65e+10,2.8964398,84.08,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD",23332,6.42,1.65e+10,1.41,1.03181450516728
"205",207,"HES","Hess Corporation","Energy",43,-9.3,2.27,-19.94,55.48,37.25,14016129999,-8.19e+08,3.780475,1.08,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HES",6609,22.06,-8.19e+08,-8.07,1.81446238252583
"206",208,"HIG","Hartford Financial Svc.Gp.","Financials",53.34,14.3,1.79,2.27,59.2,46.35,19926305632,0,1.3939538,1.15,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG",4263,13.97,0,Inf,0.67733689472981
"207",209,"HII","Huntington Ingalls Industries","Industrials",225.37,18.8,1.23,12.15,253.44,183.42,10628247899,1.11e+09,1.8924941,6.04,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HII",1282,8.23,1.11e+09,1.16,0.970612792824882
"208",210,"HLT","Hilton Worldwide Holdings Inc","Consumer Discretionary",78.66,36.4,0.73,1.05,88.11,55.79,26242415796,2.82e+09,3.7628453,17.67,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HLT",7559,12.88,2.82e+09,2.69,1.04587502901299
"209",211,"HOG","Harley-Davidson","Consumer Discretionary",47.54,13.7,3.02,2.98,63.4,44.52,8158949890,1058817000,1.66195,4.31,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOG",4196.52,4.9,1058817000,3.96,1.04228679213654
"210",212,"HOLX","Hologic","Health Care",38.8,19.2,0,2.64,46.8,35.76,11181493750,1.56e+09,4.80335,4,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX",2760.2,5.2,1.56e+09,1.77,0.962539569738745
"211",213,"HON","Honeywell Int'l Inc.","Industrials",146.02,20.7,1.97,2.08,165.13,119.31,1.14422e+11,8.33e+09,2.8267899,5.71,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON",14059,8.17,8.33e+09,1.69,0.859649835859155
"212",214,"HP","Helmerich & Payne","Energy",64.87,-54.5,4.15,-1.2,75.02,42.16,7345243806,483673000,3.7385862,1.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HP",493.97,37.82,483673000,1.02,1.21022589305953
"213",215,"HPE","Hewlett Packard Enterprise","Information Technology",15.04,11.6,1.93,0.21,24.88,12.815,24800859640,3.68e+09,1.4609766,1.06,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPE",10136,6.86,3.68e+09,2.75,1.29814092607928
"214",216,"HPQ","HP Inc.","Information Technology",19.92,12.1,2.63,1.49,24.1,15.39,34895294088,3.7e+09,0.8954903,0.66,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ",4524,12.33,3.7e+09,1.22,1.2489657957107
"215",217,"HRB","Block H&R","Financials",25.19,12.3,3.73,1.92,31.8,19.85,5381433872,894754000,2.0188456,205.41,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB",1491.33,3.82,894754000,1.67,0.873770978186645
"216",218,"HRL","Hormel Foods Corp.","Consumer Staples",32.21,20.4,2.29,1.57,38,29.75,17338613096,1422305000,2.5174792,3.49,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRL",624.84,4.13,1422305000,0.44,0.52243013811123
"217",219,"HRS","Harris Corporation","Information Technology",149.84,26.4,1.49,4.43,160.67,104.16,18140726600,1.37e+09,2.9516637,5.88,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRS",3410,7.15,1.37e+09,2.49,0.716016205713878
"218",220,"HSIC","Henry Schein","Health Care",70.85,19.9,0,3.1,93.495,65.28,11452961984,1033985000,1.262194,3.74,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC",1000.32,7.18,1033985000,0.97,0.726705769390846
"219",221,"HST","Host Hotels & Resorts","Real Estate",18.75,11.2,4.11,1.02,21.53,17.26,14394715334,1.55e+09,3.5549128,2.02,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST",4079,2.72,1.55e+09,2.64,0.82109179124089
"220",222,"HSY","The Hershey Company","Consumer Staples",97.65,20.5,2.65,3.66,116.49,98.851,20867272020,1404123000,2.8396711,25.64,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY",3253.88,2.61,1404123000,2.32,0.309659885818129
"221",223,"HUM","Humana Inc.","Health Care",262.37,22.4,0.6,4.06,293.35,189.01,36973617235,0,0.9256895,3.33,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HUM",4774,3.5,0,Inf,0.904492610197095
"222",224,"IBM","International Business Machines","Information Technology",147.59,10.7,3.9,6.11,182.79,139.13,1.42433e+11,1.66e+10,1.817167,7.7,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM",35989,2.56,1.66e+10,2.17,1.02668443220242
"223",225,"ICE","Intercontinental Exchange","Financials",67,23,5.43,2.37,76.1378,56.8,41373051167,3.1e+09,9.619987,2.62,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE",6488,2.5,3.1e+09,2.09,0.618594845642769
"224",226,"IDXX","IDEXX Laboratories","Health Care",169.28,53.6,0,2.94,198.73,140.63,15422885020,478307000,7.97525,196.21,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IDXX",602.42,13.85,478307000,1.26,1.30699469142335
"225",227,"IFF","Intl Flavors & Fragrances","Materials",138,24.2,1.93,5.05,157.4,116.3,11270040447,699963000,4.4208813,6.34,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IFF",4331.24,9.27,699963000,6.19,0.766409865154384
"226",228,"ILMN","Illumina Inc","Health Care",209.54,52.3,0,4.92,248.97,158.0203,32295200000,1.19e+09,11.713953,10.89,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ILMN",860,25,1.19e+09,0.72,1.63632723159831
"227",229,"INCY","Incyte","Health Care",83.92,-119.9,0,0.54,153.15,84.21,18220961259,-81686000,17.02699,10.25,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INCY",17.22,26.72,-81686000,-0.21,1.09420173108272
"228",230,"INFO","IHS Markit Ltd.","Industrials",43.73,26.2,0,1,49.19,37.82,17969275816,1018900000,5.0604,2.24,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INFO",4889.2,11.38,1018900000,4.8,1.09539528156669
"229",231,"INTC","Intel Corp.","Information Technology",42.75,12.3,2.65,1.98,50.85,33.23,2.12e+11,2.62e+10,3.348876,3.34,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC",24823,11.54,2.62e+10,0.95,1.24854018008878
"230",232,"INTU","Intuit Inc.","Information Technology",152.75,40.5,0.97,3.72,170.59,111.9,41233771565,1.65e+09,9.633731,33.5,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTU",375,14.79,1.65e+09,0.23,1.3008020424134
"231",233,"IP","International Paper","Materials",56.05,15.6,3.21,5.14,66.94,49.6,24465996443,3e+09,1.0738261,4.99,"http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP",10700,7.72,3e+09,3.56,0.945403448032231
